	INPUT:title	INPUT:coupon	INPUT:screenshot	INPUT:assignment_id	INPUT:coupon_available	INPUT:path	OUTPUT:result	OUTPUT:assignment_id	GOLDEN:result	GOLDEN:assignment_id	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
30	20% OFF YOUR PURCHASE OF $50	BMSM20	https://yang.s3.yandex.net/assignment_0001f48c86--624e21f51c118320754a55a9/microsoft.4d315a1c-ddf3-4df0-b97c-44f1e361720a.png	"""0001f48c86--624e21f51c118320754a55a9"""	Yes	https://www.forever21.com	Yes	"""0001f48c86--624e21f51c118320754a55a9"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff419107301785661a23e	0001f4d961--624ff419107301785661a23e	ef6b686b332d5b2b1c442ed6fef9dd55	APPROVED	2022-04-08T08:36:41.480
31	20% OFF YOUR PURCHASE OF $50	BMSM20	https://yang.s3.yandex.net/assignment_0001f48c86--624e21f51c118320754a55a9/microsoft.4d315a1c-ddf3-4df0-b97c-44f1e361720a.png	"""0001f48c86--624e21f51c118320754a55a9"""	Yes	https://www.forever21.com	Yes	"""0001f48c86--624e21f51c118320754a55a9"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff415b76a1c04dcab104c	0001f4d961--624ff415b76a1c04dcab104c	b43c4e574acb4f57e6692cf3f9d3202c	APPROVED	2022-04-08T08:36:37.130
32	20% OFF YOUR PURCHASE OF $50	BMSM20	https://yang.s3.yandex.net/assignment_0001f48c86--624e21f51c118320754a55a9/microsoft.4d315a1c-ddf3-4df0-b97c-44f1e361720a.png	"""0001f48c86--624e21f51c118320754a55a9"""	Yes	https://www.forever21.com	Yes	"""0001f48c86--624e21f51c118320754a55a9"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff498d017e929bc8e7201	0001f4d961--624ff498d017e929bc8e7201	a7763ee42b4669ce4693992efd4fc6b5	APPROVED	2022-04-08T08:38:48.378
33	10% OFF YOUR PURCHASE OF $50	BMSM10	https://yang.s3.yandex.net/assignment_0001f48c86--624e21f51c118320754a55a9/microsoft.4d315a1c-ddf3-4df0-b97c-44f1e361720a.png	"""0001f48c86--624e21f51c118320754a55a9"""	Yes	https://www.forever21.com	Yes	"""0001f48c86--624e21f51c118320754a55a9"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff4b320dc5a56d81629a5	0001f4d961--624ff4b320dc5a56d81629a5	aa00512e790f8059243ffd7b0b7d6de9	APPROVED	2022-04-08T08:39:15.343
34			https://yang.s3.yandex.net/assignment_0001f48c86--624dee5df530090b52ad1c70/microsoft.b685e40e-916c-4ecd-9ae4-125b1bb813c4.jpeg	"""0001f48c86--624dee5df530090b52ad1c70"""	No	https://www.blair.com	Yes	"""0001f48c86--624dee5df530090b52ad1c70"""					https://toloka.yandex.ru/task/32823649/0001f4d961--624ff35931bfa028923279f7	0001f4d961--624ff35931bfa028923279f7	b43c4e574acb4f57e6692cf3f9d3202c	APPROVED	2022-04-08T08:33:29.429
35			https://yang.s3.yandex.net/assignment_0001f48c86--624dee5df530090b52ad1c70/microsoft.b685e40e-916c-4ecd-9ae4-125b1bb813c4.jpeg	"""0001f48c86--624dee5df530090b52ad1c70"""	No	https://www.blair.com	Yes	"""0001f48c86--624dee5df530090b52ad1c70"""					https://toloka.yandex.ru/task/32823649/0001f4d961--624ff34c11ae4e4ae72c36d3	0001f4d961--624ff34c11ae4e4ae72c36d3	ef6b686b332d5b2b1c442ed6fef9dd55	APPROVED	2022-04-08T08:33:16.945
36			https://yang.s3.yandex.net/assignment_0001f48c86--624dee5df530090b52ad1c70/microsoft.b685e40e-916c-4ecd-9ae4-125b1bb813c4.jpeg	"""0001f48c86--624dee5df530090b52ad1c70"""	No	https://www.blair.com	Yes	"""0001f48c86--624dee5df530090b52ad1c70"""					https://toloka.yandex.ru/task/32823649/0001f4d961--624ff3558ff20d5d4b7e7b86	0001f4d961--624ff3558ff20d5d4b7e7b86	5036447ad3003d913ae4072b4f455f99	APPROVED	2022-04-08T08:33:25.425
37	UP TO 60% OFF SITEWIDE	SWING	https://yang.s3.yandex.net/assignment_0001f48c86--624e1fd4af11967837bfaa0a/microsoft.78b202b3-cc50-4d94-bf40-d38854d1da78.png	"""0001f48c86--624e1fd4af11967837bfaa0a"""	Yes	https://www.fanatics.com	Yes	"""0001f48c86--624e1fd4af11967837bfaa0a"""	No				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff35931bfa028923279f7	0001f4d961--624ff35931bfa028923279f7	b43c4e574acb4f57e6692cf3f9d3202c	APPROVED	2022-04-08T08:33:29.429
38	UP TO 60% OFF SITEWIDE	SWING	https://yang.s3.yandex.net/assignment_0001f48c86--624e1fd4af11967837bfaa0a/microsoft.78b202b3-cc50-4d94-bf40-d38854d1da78.png	"""0001f48c86--624e1fd4af11967837bfaa0a"""	Yes	https://www.fanatics.com	No	"""0001f48c86--624e1fd4af11967837bfaa0a"""	No				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff374e500591a11548cf6	0001f4d961--624ff374e500591a11548cf6	5036447ad3003d913ae4072b4f455f99	APPROVED	2022-04-08T08:33:56.863
39	UP TO 60% OFF SITEWIDE	SWING	https://yang.s3.yandex.net/assignment_0001f48c86--624e1fd4af11967837bfaa0a/microsoft.78b202b3-cc50-4d94-bf40-d38854d1da78.png	"""0001f48c86--624e1fd4af11967837bfaa0a"""	Yes	https://www.fanatics.com	Yes	"""0001f48c86--624e1fd4af11967837bfaa0a"""	No				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff3aecf7469621adf931b	0001f4d961--624ff3aecf7469621adf931b	aaece8b3edbb9d5d20bda4b845a5b605	APPROVED	2022-04-08T08:34:54.392
40	UP TO 60% OFF SITEWIDE	SWING	https://yang.s3.yandex.net/assignment_0001f48c86--624e1fd4af11967837bfaa0a/microsoft.78b202b3-cc50-4d94-bf40-d38854d1da78.png	"""0001f48c86--624e1fd4af11967837bfaa0a"""	Yes	https://www.fanatics.com	Yes	"""0001f48c86--624e1fd4af11967837bfaa0a"""	No				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff4088ff20d5d4b7e8ad4	0001f4d961--624ff4088ff20d5d4b7e8ad4	240f2139678ae981be5af88a654a6cc2	APPROVED	2022-04-08T08:36:24.365
41	UP TO 60% OFF SITEWIDE	SWING	https://yang.s3.yandex.net/assignment_0001f48c86--624e1fd4af11967837bfaa0a/microsoft.78b202b3-cc50-4d94-bf40-d38854d1da78.png	"""0001f48c86--624e1fd4af11967837bfaa0a"""	Yes	https://www.fanatics.com	Yes	"""0001f48c86--624e1fd4af11967837bfaa0a"""	No				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff45acf7469621adfa2d5	0001f4d961--624ff45acf7469621adfa2d5	21940eaf17fbea807b7e574278a14adb	APPROVED	2022-04-08T08:37:46.338
42	UP TO 60% OFF SITEWIDE	SWING	https://yang.s3.yandex.net/assignment_0001f48c86--624e1fd4af11967837bfaa0a/microsoft.78b202b3-cc50-4d94-bf40-d38854d1da78.png	"""0001f48c86--624e1fd4af11967837bfaa0a"""	Yes	https://www.fanatics.com	Yes	"""0001f48c86--624e1fd4af11967837bfaa0a"""	No				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff46f4949293a58968677	0001f4d961--624ff46f4949293a58968677	b7cfbae0fb246b6dd7c1fe96aab9834d	APPROVED	2022-04-08T08:38:07.472
43	UP TO 60% OFF SITEWIDE	SWING	https://yang.s3.yandex.net/assignment_0001f48c86--624e1fd4af11967837bfaa0a/microsoft.78b202b3-cc50-4d94-bf40-d38854d1da78.png	"""0001f48c86--624e1fd4af11967837bfaa0a"""	Yes	https://www.fanatics.com	Yes	"""0001f48c86--624e1fd4af11967837bfaa0a"""	No				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff4882b39fd54e7bca7de	0001f4d961--624ff4882b39fd54e7bca7de	ef6b686b332d5b2b1c442ed6fef9dd55	APPROVED	2022-04-08T08:38:32.202
44	UP TO 60% OFF SITEWIDE	SWING	https://yang.s3.yandex.net/assignment_0001f48c86--624e1fd4af11967837bfaa0a/microsoft.78b202b3-cc50-4d94-bf40-d38854d1da78.png	"""0001f48c86--624e1fd4af11967837bfaa0a"""	Yes	https://www.fanatics.com	Yes	"""0001f48c86--624e1fd4af11967837bfaa0a"""	No				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff4a1d017e929bc8e726e	0001f4d961--624ff4a1d017e929bc8e726e	852b7d6cd9be4f2adb6948f62b55a760	APPROVED	2022-04-08T08:38:57.028
45	"$3.50 OFF
your qualifying $15 purchase"	995500	https://yang.s3.yandex.net/assignment_0001f48c86--624e30d4f2bfda1126917ec2/microsoft.f156a300-ec2c-42bb-a49d-af2d8d1ab58d.jpg	"""0001f48c86--624e30d4f2bfda1126917ec2"""	Yes	https://www.ulta.com	Yes	"""0001f48c86--624e30d4f2bfda1126917ec2"""					https://toloka.yandex.ru/task/32823649/0001f4d961--624ff35931bfa028923279f7	0001f4d961--624ff35931bfa028923279f7	b43c4e574acb4f57e6692cf3f9d3202c	APPROVED	2022-04-08T08:33:29.429
46	"$3.50 OFF
your qualifying $15 purchase"	995500	https://yang.s3.yandex.net/assignment_0001f48c86--624e30d4f2bfda1126917ec2/microsoft.f156a300-ec2c-42bb-a49d-af2d8d1ab58d.jpg	"""0001f48c86--624e30d4f2bfda1126917ec2"""	Yes	https://www.ulta.com	No	"""0001f48c86--624e30d4f2bfda1126917ec2"""					https://toloka.yandex.ru/task/32823649/0001f4d961--624ff34c11ae4e4ae72c36d3	0001f4d961--624ff34c11ae4e4ae72c36d3	ef6b686b332d5b2b1c442ed6fef9dd55	APPROVED	2022-04-08T08:33:16.945
